 Spells (Memorise)                   Type                      Failure  Level
 a - Grave Claw                      Necromancy                6%       2
 b - Vampiric Draining               Necromancy                12%      3
 c - Foxfire                         Conjuration/Fire          24%      1
 d - Lesser Beckoning                Translocation             34%      2
 e - Animate Dead                    Necromancy                36%      4
 f - Curse of Agony                  Necromancy                73%      5
 g - Manifold Assault                Translocation             100%     7




















3 spell levels left
[Tab] Memorise|Describe|Hide|Show   [Ctrl-F] search   [?] help       [Esc] exit
