# Traducciones de UI de DCSS - Habilidades
# Fuente: skills.cc, skill-menu.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

# --- Nombres de habilidades ---
Fighting|Combate
Short Blades|Espadas cortas
Long Blades|Espadas largas
Axes|Hachas
Maces & Flails|Mazas y mayales
Polearms|Armas de asta
Staves|Bastones
Ranged Weapons|Armas a distancia
Throwing|Proyectiles
Armour|Armadura
Dodging|Esquivar
Stealth|Sigilo
Shields|Escudos
Unarmed Combat|Combate sin armas
Spellcasting|Lanzamiento de hechizos
Conjurations|Conjuración
Hexes|Maleficios
Summonings|Invocaciones
Necromancy|Nigromancia
Translocations|Traslocaciones
Forgecraft|Forja
Fire Magic|Magia de Fuego
Ice Magic|Magia de Hielo
Air Magic|Magia de Aire
Earth Magic|Magia de Tierra
Alchemy|Alquimia
Invocations|Invocación
Evocations|Evocación
Shapeshifting|Cambiaformas
Slings|Hondas
Crossbows|Ballestas
Stabbing|Apuñalamiento
Traps|Trampas
Charms|Encantamientos

# --- Títulos sin placeholders ---
Abyssopelagic|Abisopelágico
Acrobat|Acróbata
Adventurer|Aventurero
Agnostic|Agnóstico
Annihilator|Aniquilador
Anointer|Ungidor
Apostate|Apóstata
Apothecary|Boticario
Architect of Ages|Arquitecto de Edades
Archmage|Archimago
Arsonist|Pirómano
Ascendant|Ascendente
Axe Maniac|Maniaco del Hacha
Backstabber|Apuñalador
Basher|Aporreador
Bewitcher|Hechizador
Black Belt|Cinturón negro
Black Lotus|Loto Negro
Blackguard|Canalla
Blademaster|Maestro de la Espada
Blinker|Parpadeante
Blocker|Bloqueador
Blood Saint|Santo de Sangre
Bludgeoner|Mazador
Bolt Thrower|Lanzador de Virotes
Brawler|Pendenciero
Brimstone Smiter|Castigador de Azufre
Caller|Invocador
Carver|Tallador
Changeling|Cambiante
Chaos Fanatic|Fanático del Caos
Charlatan|Charlatán
Charmwright|Creador de Encantos
Chief of Staff|Jefe de Estado Mayor
Chiller|Escarchador
Chopper|Tajador
Chucker|Lanzador
Cleaver|Cuchillero
Cloud Mage|Mago de las Nubes
Cobgoblin|Goblin Babeante
Cogmind|Mente de Engranajes
Conjurer|Conjurador
Conqueror|Conquistador
Convoker|Convocador
Corpseflower|Flor Cadavérica
Covered|Cubierta
Covert|Encubierto
Crack Shot|Tirador de Élite
Cruiser|Crucero
Cruncher|Masticador
Crusher|Triturador
Cryomancer|Criomante
Cudgeller|Porrero
Cutter|Cortador
Cutthroat|Degollador
Danse Macabre|Danza Macabra
Deadly Accurate|Precisión mortal
Death Knight|Caballero de la Muerte
Defender|Defensor
Demonologist|Demonólogo
Destroyer|Destructor
Devastator|Devastador
Digger|Excavador
Disarmer|Desarmador
Dissident|Disidente
Ducker|Esquivador
Dungeon Master|Maestro de la Mazmorra
Earth Mage|Mago de Tierra
Eclecticist|Ecléctico
Englaciator|Glaciador
Eviscerator|Eviscerador
Evocator|Evocador
Ex Machina|Ex Machina
Executioner|Verdugo
Fabricator|Fabricador
Faerie Dragon|Dragón de las Hadas
Feather|Pluma
Fencer|Esgrimista
Fetichist|Fetichista
Fighter|Guerrero
Firebug|Bicho de Fuego
Fire Dragon|Dragón de Fuego
Fire Storm|Tormenta de Fuego
Flawless|Impecable
Forbidden One|El Prohibido
Frogwright|Sapoconstructor
Frost Mage|Mago de Escarcha
Gelid|Gélido
Geomancer|Geomante
God-Hated|Aborrecido por los Dioses
Gouger|Saqueador
Gracecrafter|Creador de Gracia
Grand Master|Gran Maestro
Grappler|Luchador
Grasshopper|Saltamontes
Grave Robber|Ladrón de Tumbas
Gusty|Ráfaga
Hawkeye|Ojo de Halcón
Heavy|Pesado
Hell Knight|Caballero del Infierno
Hellbinder|Atador Infernal
Herculean|Herculano
Heretic|Hereje
Hermetic|Hermético
Highly Combustible|Muy combustible
Holy Roller|Rodador Santo
Hoplite|Hoplita
Ice Dragon|Dragón de Hielo
Impaler|Empalador
Imperceptible|Imperceptible
Impregnable|Impenetrable
Incurious|Incurioso
Infernalist|Infernalista
Infuser|Infusor
Insei|Insei
Intangible|Intangible
Invulnerable|Invencible
Iron Dragon|Dragón de Hierro
Iron Golem|Gólem de Hierro
Iron Troll|Trol de hierro
Jinx|Gafe
Keeper of the Flame|Guardián de la Llama
Kraken|Kraken
Laughing Skull|Calavera Risueña
Leviathan|Leviatán
Light|Luz
Magician|Mago
Maledictor|Maldiciente
Marid|Marid
Martial Artist|Artista Marcial
Master Archer|Maestro Arquero
Mechanist|Mecanista
Metallomancer|Metalomante
Metamorph|Metamorfo
Meteorologist|Meteorólogo
Middle|Medio
Mimic|Imitador
Miracle Worker|Taumaturgo
Miscreant|Granuja
Miser|Avaro
Molten|Fundido
Necrodancer|Nigrodanzante
Necromancer|Nigromante
Necromech|Nigromecánico
Nightshade|Sombra Nocturna
Nimble|Ágil
Ninja|Ninja
Pearl Dragon|Dragón de Perla
Peltast|Peltasta
Perceptive|Perceptivo
Petite Mort|Pequeña Muerte
Petrodigitator|Petrodigitador
Phalangite|Falangita
Pharaoh|Faraón
Philosopher|Filósofo
Pinnacle of Evolution|Cénit de la Evolución
Poker|Pinchador
Polar Vortex|Vórtice Polar
Politician|Político
Polterguardian|Guardian Poltergeist
Portalist|Portalista
Prestidigitator|Prestidigitador
Prickly Pangolin|Pangolín Espinoso
Protected|Protegido
Pulveriser|Pulverizador
Pyromancer|Piromente
Quickloader|Cargador Rápido
Quintessent|Quintaesencia
Reanimator|Reanimador
Ripper|Desgarrador
Rockslime|Limo Rocoso
Rolling Thunder|Trueno Rodante
Royal Mummy|Momia Real
Ruffian|Granuja
Ruinous|Ruinoso
Ruthless|Despiadado
Sabretooth|Diente de Sable
Scorcher|Calcinador
Scout|Explorador
Scratcher|Rascador
Sensei|Sensei
Severer|Segador
Sharpshooter|Tirador Certero
Shatterer|Fragmentador
Shield-Bearer|Portaescudos
Shooter|Tirador
Siegecrafter|Ingeniero de Asedio
Siren|Sirena
Skirmisher|Escaramuzador
Skinwalker|Cambiapieles
Skullcrusher|Machacacráneos
Slasher|Sajador
Slayer|Matador
Slicer|Rebanador
Slinger|Hondero
Slingshot|Tirachinas
Smokeless Flame|Llama sin humo
Sneak|Sigiloso
Sniper|Francotirador
Sorcerer|Hechicero
Spatial Maelstrom|Maelstrom espacial
Spear-Bearer|Portalanza
Spellbinder|Atador de Conjuros
Spry|Ágil
Stickfighter|Luchador de Bastón
Storm Dragon|Dragón de la Tormenta
Stormcaller|Invocatormentas
Summoner|Invocador
