# Traducciones de UI de DCSS - Misceláneo
# Fuente: misc.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

You spin around.|Giras sobre ti mismo.
Your stasis prevents you from teleporting.|Tu estasis te impide teletransportarte.
humor and ridicule to confront the|el humor y el ridículo para confrontar
power of death.|poder de la muerte.

# Mensajes varios del juego
Why would you want to do that?|¿Por qué querrías hacer eso?
You enter the shallow water.|Entras en el agua poco profunda.
Moving in this stuff is going to be slow.|Moverse en esto va a ser lento.

# Items, trampas, gritos, hechizos

# Items, trampas, gritos, hechizos
%d runas! That's enough to enter the realm of Zot.|¡%d runas! Es suficiente para entrar en el reino de Zot.
%s %s the alarm!|%s %s la alarma!
%s %s!|%s %s!
%s (%s)|%s (%s)
%s burns to shimmering ash in your grasp.|%s se quema hasta convertirse en ceniza en tu mano.
%s cannot be improved any further.|%s no se puede mejorar más.
%s disappears.|%s desaparece.
%s effortlessly oozes through the net!|%s rezuma sin esfuerzo a través de la red!
%s enters %s!|%s entra en %s!
%s enters a devourer's trap.|%s entra en la trampa de un devorador.
%s enters a harlequin's trap.|%s entra en la trampa de un arlequín.
%s is invisible, and %s can't see %s.|%s es invisible, y %s no puede ver %s.
%s is invisible, and you have no allies that can see %s.|%s es invisible, y no tienes aliados que puedan ver %s.
%s shaft crumbles and collapses.|El eje %s se desmorona y colapsa.
%s vibrates slightly, failing to make a sound.|%s vibra ligeramente, sin hacer un sonido.
Autopickup disabled for %d items.|Autopickup deshabilitado para artículos de %d.
Autopickup disabled for %s.|Autopickup deshabilitado para %s.
Sorry, the spell '%s' is gone!|Lo siento, el hechizo '%s' se ha ido!
The net passes right through %s!|¡La red pasa por %s!
The spells of %s are empowered!|¡Los hechizos de %s están habilitados!
This passage %s!|¡Este pasaje %s!
You %s the net and break free!|¡%s la red y te liberas!
You %s%s at %s!|¡%s%s en %s!
You add the spell%s %s to your library.|Añades el hechizo%s %s a tu biblioteca.
You drop %s.|Deja el %s.
You enter %s!|¡Entras en %s.
You have identified the last %s.|Has identificado el último %s.
You now have %d gold piece%s%s.|Ahora tienes %d pieza de oro%s%s.
You now have %d runas.|Ahora tienes runas de %d.
You pick up %s and begin reading...|Recoges %s y comienzas a leer...
You pick up %s and begin studying.|Recoges %s y empiezas a estudiar.
You pick up %s and feel its impossibly delicate weight in your %s.|Recoges %s y sientes tu peso imposiblemente delicado en tu %s.
You pick up %s, but it has nothing more to teach you.|Recoge %s, pero no tiene nada más que enseñarte.
You pick up %s. Unfortunately, it's quite useless to you.|Recoges %s. Por desgracia, es muy inútil para ti.
You pick up another %s and continue studying.|Recoges otro %s y continúas estudiando.
You pick up the %s rune and feel its power.|Recoges la runa %s y siente tu poder.
You see here %s.|Ves aquí %s.
You welcome %s%s into your grasp.|Acoges %s%s en tu poder.
You whisper farewell to %s.|Susurras adiós a %s.
You've found all the gems! Together, they sparkle an otherworldly %s!|¡Has encontrado todas las gemas! ¡Juntos, brillan un %s de otro mundo!
Your strength is siphoned away as %s grow%s stronger!|¡Tu fuerza está apagada mientras %s crece%s más fuerte!

# Mensajes con stream
You see here %s.|Ves aquí %s.
%s is nearby|%s está cerca
You encounter %s.|Te encuentras con %s.
You die...|Has muerto...
The %s hits you.|%s te golpea.
The %s bites you.|%s te muerde.
The %s is lightly wounded.|%s está ligeramente herido.
* * * LOW HITPOINT WARNING * * *|* * * AVISO DE POCA SALUD * * *
You miss the %s.|Fallas al %s.
You completely miss %s.|Fallas completamente a %s.
The %s barely misses you.|%s por poco te falla.
You block the %s.|Bloqueas al %s.
The %s grabs you.|%s te agarra.
